timestamp,valid_elapsed_s,person_frac,dir,score_total,tronco_lat_deg,tronco_pitch_deg,zigzag_std,asim_amp,asim_t
2025-11-06 15:38:52,1.0,0.350,aleja,100.0,0.53,0.01,0.000,0.000,0.000
2025-11-06 15:38:53,2.0,0.356,estable,85.0,2.97,0.02,0.000,1.404,0.058
2025-11-06 15:38:54,3.0,0.408,acerca,85.0,1.13,0.01,0.000,0.878,0.026
2025-11-06 15:38:55,4.0,0.480,acerca,68.5,0.71,0.00,0.044,0.779,0.162
2025-11-06 15:39:02,5.0,0.460,aleja,73.8,2.65,0.01,0.071,0.000,0.000
2025-11-06 15:39:03,6.0,0.386,aleja,79.4,4.29,0.01,0.057,0.000,0.000
2025-11-06 15:39:04,7.0,0.315,aleja,78.9,4.06,0.00,0.052,0.198,0.091
2025-11-06 15:39:05,8.1,0.296,aleja,55.7,0.70,0.01,0.076,0.759,0.133
2025-11-06 15:39:06,9.1,0.314,acerca,72.6,3.92,0.01,0.038,0.628,0.115
2025-11-06 15:39:07,10.0,0.364,acerca,75.9,0.44,0.02,0.033,0.557,0.117
2025-11-06 15:39:08,11.1,0.444,acerca,73.6,1.69,0.00,0.032,0.673,0.170
2025-11-06 15:39:09,12.0,0.501,acerca,71.0,2.27,0.00,0.030,0.416,0.460
2025-11-06 15:39:15,13.0,0.463,aleja,72.1,2.49,0.02,0.075,0.000,0.000
2025-11-06 15:39:16,14.0,0.373,aleja,66.3,4.22,0.01,0.070,0.108,0.342
2025-11-06 15:39:17,15.0,0.323,aleja,67.0,1.57,0.01,0.066,0.260,0.242
2025-11-06 15:39:18,16.1,0.285,aleja,62.5,2.80,0.00,0.068,0.468,0.158
2025-11-06 15:39:19,17.0,0.295,estable,81.8,2.79,0.01,0.032,0.376,0.120
2025-11-06 15:39:20,18.0,0.334,acerca,87.1,1.21,0.02,0.030,0.246,0.001
2025-11-06 15:39:21,19.1,0.344,acerca,72.8,6.77,0.02,0.038,0.457,0.031
2025-11-06 15:39:22,20.1,0.435,acerca,80.9,0.77,0.01,0.045,0.239,0.014
2025-11-06 15:39:36,21.0,0.404,estable,48.5,22.59,0.05,0.072,0.000,0.000
2025-11-06 15:39:43,22.1,0.409,aleja,77.3,1.46,0.01,0.063,0.000,0.000
2025-11-06 15:39:44,23.1,0.325,aleja,61.0,1.07,0.01,0.062,0.491,0.269
2025-11-06 15:39:45,24.1,0.286,aleja,68.0,0.29,0.02,0.067,0.027,0.359
2025-11-06 15:39:46,25.0,0.301,estable,69.3,4.04,0.01,0.067,0.068,0.300
2025-11-06 15:39:47,26.1,0.333,acerca,77.4,1.31,0.03,0.046,0.027,0.344
2025-11-06 15:39:48,27.0,0.390,acerca,65.1,2.32,0.01,0.046,0.496,0.359
2025-11-06 15:39:49,28.1,0.479,acerca,59.4,2.09,0.01,0.044,0.691,0.465
2025-11-06 15:40:05,29.0,0.387,aleja,75.3,0.39,0.00,0.068,0.000,0.000
2025-11-06 15:40:06,30.0,0.346,aleja,76.2,2.63,0.02,0.066,0.000,0.000
2025-11-06 15:40:07,31.0,0.303,aleja,68.5,1.58,0.00,0.065,0.052,0.359
2025-11-06 15:40:08,32.1,0.284,aleja,68.0,2.53,0.02,0.064,0.391,0.058
2025-11-06 15:40:09,33.1,0.295,estable,63.6,5.20,0.01,0.061,0.390,0.230
2025-11-06 15:40:10,34.0,0.329,acerca,79.5,0.31,0.02,0.044,0.255,0.149
2025-11-06 15:40:11,35.0,0.389,acerca,85.4,1.49,0.03,0.043,0.117,0.056
2025-11-06 15:40:12,36.1,0.460,acerca,86.1,2.55,0.00,0.042,0.053,0.042
2025-11-06 15:40:13,37.1,0.530,acerca,80.8,3.64,0.00,0.042,0.114,0.268
